År,Region,Effektklass,Solcellsanläggningar, Antal Installerad effekt (MW)
2016,0380 Uppsala,> 1 000 kW,0,0
2016,0380 Uppsala,Totalt,312,4.43
2016,0381 Enköping,< 20 kw,46,0.42
2016,0381 Enköping,20 kW - 1 000 kW,7,0.34
2016,0381 Enköping,> 1 000 kW,0,0
2016,0381 Enköping,Totalt,53,0.76
2016,0382 Östhammar,< 20 kw,41,0.33
2016,0382 Östhammar,20 kW - 1 000 kW,8,0.2
2016,0382 Östhammar,> 1 000 kW,0,0
2016,0382 Östhammar,Totalt,49,0.52
2016,0428 Vingåker,< 20 kw,18,0.14
2016,0428 Vingåker,20 kW - 1 000 kW,2,0.06
2016,0428 Vingåker,> 1 000 kW,0,0
2016,0428 Vingåker,Totalt,20,0.2
2016,0461 Gnesta,< 20 kw,14,0.1
2016,0461 Gnesta,20 kW - 1 000 kW,2,0.16
2016,0461 Gnesta,> 1 000 kW,0,0
2016,0461 Gnesta,Totalt,16,0.26
2016,0480 Nyköping,< 20 kw,52,0.42
2016,0480 Nyköping,20 kW - 1 000 kW,9,0.55
2016,0480 Nyköping,> 1 000 kW,0,0
2016,0480 Nyköping,Totalt,61,0.96
2016,0481 Oxelösund,< 20 kw,3,0.01
2016,0481 Oxelösund,20 kW - 1 000 kW,3,0.08
2016,0481 Oxelösund,> 1 000 kW,0,0
2016,0481 Oxelösund,Totalt,6,0.09
2016,0482 Flen,< 20 kw,27,0.26
2016,0482 Flen,20 kW - 1 000 kW,5,0.17
2016,0482 Flen,> 1 000 kW,0,0
2016,0482 Flen,Totalt,32,0.43
2016,0483 Katrineholm,< 20 kw,55,0.37
2016,0483 Katrineholm,20 kW - 1 000 kW,13,0.74
2016,0483 Katrineholm,> 1 000 kW,1,1.02
2016,0483 Katrineholm,Totalt,69,2.13
2016,0484 Eskilstuna,< 20 kw,93,0.72
2016,0484 Eskilstuna,20 kW - 1 000 kW,29,1.41
2016,0484 Eskilstuna,> 1 000 kW,0,0
2016,0484 Eskilstuna,Totalt,122,2.13
2016,0486 Strängnäs,< 20 kw,50,0.42
2016,0486 Strängnäs,20 kW - 1 000 kW,18,0.96
2016,0486 Strängnäs,> 1 000 kW,0,0
2016,0486 Strängnäs,Totalt,68,1.37
2016,0488 Trosa,< 20 kw,20,0.11
2016,0488 Trosa,20 kW - 1 000 kW,3,0.07
2016,0488 Trosa,> 1 000 kW,0,0
2016,0488 Trosa,Totalt,23,0.18
2016,0509 Ödeshög,< 20 kw,16,0.16
2016,0509 Ödeshög,20 kW - 1 000 kW,5,0.15
2016,0509 Ödeshög,> 1 000 kW,0,0
2016,0509 Ödeshög,Totalt,21,0.31
2016,0512 Ydre,< 20 kw,7,0.08
2016,0512 Ydre,20 kW - 1 000 kW,1,0.04
2016,0512 Ydre,> 1 000 kW,0,0
2016,0512 Ydre,Totalt,8,0.12
2016,0513 Kinda,< 20 kw,27,0.2
2016,0513 Kinda,20 kW - 1 000 kW,2,0.06
2016,0513 Kinda,> 1 000 kW,0,0
2016,0513 Kinda,Totalt,29,0.26
2016,0560 Boxholm,< 20 kw,15,0.13
2016,0560 Boxholm,20 kW - 1 000 kW,3,0.18
2016,0560 Boxholm,> 1 000 kW,0,0
2016,0560 Boxholm,Totalt,18,0.31
2016,0561 Åtvidaberg,< 20 kw,16,0.14
2016,0561 Åtvidaberg,20 kW - 1 000 kW,4,0.12
2016,0561 Åtvidaberg,> 1 000 kW,0,0
2016,0561 Åtvidaberg,Totalt,20,0.26
2016,0562 Finspång,< 20 kw,33,0.29
2016,0562 Finspång,20 kW - 1 000 kW,6,0.2
2016,0562 Finspång,> 1 000 kW,0,0
2016,0562 Finspång,Totalt,39,0.49
2016,0563 Valdemarsvik,< 20 kw,21,0.21
2016,0563 Valdemarsvik,20 kW - 1 000 kW,3,0.16
2016,0563 Valdemarsvik,> 1 000 kW,0,0
2016,0563 Valdemarsvik,Totalt,24,0.37
2016,0580 Linköping,< 20 kw,176,1.45
2016,0580 Linköping,20 kW - 1 000 kW,91,3.92
2016,0580 Linköping,> 1 000 kW,0,0
2016,0580 Linköping,Totalt,267,5.36
2016,0581 Norrköping,< 20 kw,94,0.8
2016,0581 Norrköping,20 kW - 1 000 kW,36,2.68
2016,0581 Norrköping,> 1 000 kW,0,0
2016,0581 Norrköping,Totalt,130,3.48
2016,0582 Söderköping,< 20 kw,37,0.32
2016,0582 Söderköping,20 kW - 1 000 kW,5,0.13
2016,0582 Söderköping,> 1 000 kW,0,0
2016,0582 Söderköping,Totalt,42,0.45
2016,0583 Motala,< 20 kw,91,0.72
2016,0583 Motala,20 kW - 1 000 kW,12,0.51
2016,0583 Motala,> 1 000 kW,0,0
2016,0583 Motala,Totalt,103,1.23
2016,0584 Vadstena,< 20 kw,22,0.23
2016,0584 Vadstena,20 kW - 1 000 kW,6,0.33
2016,0584 Vadstena,> 1 000 kW,0,0
2016,0584 Vadstena,Totalt,28,0.56
2016,0586 Mjölby,< 20 kw,36,0.28
2016,0586 Mjölby,20 kW - 1 000 kW,20,0.78
2016,0586 Mjölby,> 1 000 kW,0,0
2016,0586 Mjölby,Totalt,56,1.06
2016,0604 Aneby,< 20 kw,12,0.15
2016,0604 Aneby,20 kW - 1 000 kW,1,0.04
2016,0604 Aneby,> 1 000 kW,0,0
2016,0604 Aneby,Totalt,13,0.18
2016,0617 Gnosjö,< 20 kw,6,0.07
2016,0617 Gnosjö,20 kW - 1 000 kW,1,0.05
2016,0617 Gnosjö,> 1 000 kW,0,0
2016,0617 Gnosjö,Totalt,7,0.12
2016,0642 Mullsjö,< 20 kw,14,0.15
